date_id,LME_PB_Close,US_Stock_CVE_adj_close,US_Stock_HAL_adj_close,US_Stock_HL_adj_close,US_Stock_TECK_adj_close,US_Stock_OKE_adj_close,LME_CA_Close,US_Stock_CLF_adj_close,US_Stock_ALB_adj_close,JPX_Gold_Standard_Futures_Close,JPX_Platinum_Standard_Futures_Close,US_Stock_X_adj_close,LME_AH_Close,LME_ZS_Close,US_Stock_OIH_adj_close,US_Stock_DVN_adj_close,US_Stock_OXY_adj_close,US_Stock_TRGP_adj_close,LME_AH_Close - US_Stock_CVE_adj_close,US_Stock_HL_adj_close - LME_AH_Close,JPX_Platinum_Standard_Futures_Close - US_Stock_CLF_adj_close,US_Stock_TRGP_adj_close - LME_CA_Close,JPX_Gold_Standard_Futures_Close - US_Stock_X_adj_close,US_Stock_OXY_adj_close - LME_CA_Close,US_Stock_DVN_adj_close - LME_ZS_Close,LME_ZS_Close - US_Stock_HAL_adj_close,JPX_Platinum_Standard_Futures_Close - US_Stock_TRGP_adj_close,US_Stock_OXY_adj_close - LME_AH_Close,LME_AH_Close - US_Stock_CLF_adj_close,JPX_Platinum_Standard_Futures_Close - US_Stock_CVE_adj_close,JPX_Gold_Standard_Futures_Close - US_Stock_HL_adj_close,LME_PB_Close - US_Stock_ALB_adj_close,LME_CA_Close - US_Stock_X_adj_close,US_Stock_DVN_adj_close - LME_PB_Close,LME_AH_Close - US_Stock_OKE_adj_close,US_Stock_OIH_adj_close - LME_CA_Close,LME_PB_Close - US_Stock_TECK_adj_close
9,2587.0,9.4697,46.2921,4.2524,27.8953,36.459,7210.0,8.2198,121.3803,4771.0,3548.0,37.1839,2227.0,3423.0,523.1013,31.9536,63.7208,38.3047,0.0025865847875009,-0.0298198676998137,0.0812584349469188,-0.0224050866071649,-0.038975140376149,-0.0082162028507192,-0.0400019720431235,0.0326789820646513,-0.0062458933979586,0.012834496818253,0.0300532822007949,-0.0518042218886196,-0.026557893181551,-0.0180802759588099,-0.0156224067237601,0.0154420226130058,-0.0137399504968565,-0.0247824078393317,-0.0189100785666959
10,2554.0,9.1312,45.4122,4.2041,27.1123,36.5398,7078.0,7.7558,116.3622,4765.0,3536.0,36.7374,2189.0,3404.5,511.2656,31.3877,62.6717,37.7909,0.042607234337045,-0.1067352529659031,0.1177151732973538,-0.0659701921548452,-0.0350945510539801,-0.0384896032360457,-0.0667417693866914,0.0760231267351151,0.0120023409233357,-0.0079668162965765,0.0578819443506956,-0.0116420038679898,0.0346049681546116,0.0094470621620981,-0.0142748041823213,-0.0145475035911065,0.0016928403272731,-0.0659868932659533,-0.0299184459664891
11,2547.0,9.2527,46.0394,4.2041,27.1942,36.9188,7034.0,8.0399,115.4077,4741.0,3540.0,37.3454,2192.0,3367.5,514.4935,31.5183,63.1629,38.1335,0.083676459785016,-0.144432484892155,0.0973695523188796,-0.0440806324197809,0.018925212120622,-0.0226833017549327,-0.0859120076430383,0.0380714873046788,0.0248193199271069,-0.0153634762776363,0.0976245376349069,0.017599373475599,0.0324942508881439,-0.009332099194049,0.0011577624565546,-0.0091686157277389,0.0010707012070972,-0.0297076905574975,-0.0209391957063743
12,2610.0,9.1225,45.6126,4.0306,26.6207,36.1296,7076.0,7.9641,107.1896,4739.0,3555.0,37.0794,2241.0,3376.0,506.2444,31.3442,62.7716,37.7462,0.0785024822852709,-0.0607434315075875,0.1201509997138942,-0.0188436608465098,0.0567271628999039,-0.0205300531532635,-0.0809995286596507,0.0489640230365008,0.0324695986882749,-0.005992820450543,0.1150265528796509,0.0568358320366353,0.1270252323999349,0.0491708418801684,-0.0377262458311017,-0.0124048824542625,0.006369431868461,-0.0403151384012464,0.0040588911273667
13,2581.0,8.8881,46.1788,4.1077,26.7937,36.2415,7041.0,8.0399,105.4623,4736.0,3564.0,36.8324,2220.0,3416.5,510.907,31.0902,62.9048,37.776,0.0815137097250781,-0.0637688317346268,0.099283185269611,-0.0071748480323231,0.1058971687659433,-0.0185979534894817,-0.0619729440381976,0.0438447308269987,0.0149803902517941,-0.0108520510160313,0.044780443288268,0.0471067596749483,0.0820838473784024,0.0739959265975946,0.0296920587850503,-0.0509644056086354,-0.0074389993400267,-0.0291816260680358,0.0078242840849366
14,2620.0,9.0183,49.132,4.0884,26.5023,37.2109,7068.0,7.9452,103.2078,4734.0,3603.0,37.3454,2249.0,3414.0,526.6879,32.5123,64.6367,37.9771,0.1166104648564461,-0.0607480404502535,0.1281987396851223,-0.011618558573453,0.1800905093562263,-0.0298499523434682,-0.0656045223115285,0.0351846499374336,0.0061399662107355,-0.0122977488792252,0.0910925403497202,0.0699558623977308,0.0598778915478381,0.0867411683112868,0.0950610572281746,-0.0657461046889922,0.0229204900333771,-0.0402312635368151,0.0659605323436139
15,2608.0,9.1485,49.5065,4.1174,26.0107,37.5838,6923.0,7.8694,102.726,4747.0,3539.0,38.058,2229.5,3412.0,525.7912,32.3019,64.4618,37.9994,0.1311725224632585,-0.0081394819127135,0.1448989723209791,-0.036424647658437,0.135331678736041,-0.063876128510387,-0.0863911569479887,0.0935163569143616,-0.0275540036715513,-0.0018369300533332,0.0791356326055611,0.0565627658652352,0.0039035901965175,0.0784674914830314,0.1214086182145675,-0.049875810337132,0.0554849893558318,-0.0820609540354288,0.0759384628771482
16,2640.5,9.3134,48.2086,4.2138,26.5023,37.7267,7150.0,7.9073,102.1806,4731.0,3546.0,37.9915,2250.0,3440.0,518.9768,32.3019,64.5784,37.8207,0.0903917965344273,-0.0336873957971221,0.0066282682726049,-0.0272475322734507,0.0596937236793266,-0.0463843744063668,-0.0551906069699537,0.0390410809102717,0.0117977651895874,-0.0172681478025271,0.1381741766617014,0.0974514006922574,0.0531446195684112,0.0404085615042684,0.1095265430306764,-0.07030674699273,0.0197832920239148,-0.0424234561439576,0.0148629762264934
17,2605.0,9.053,48.0866,3.9727,26.4841,37.6459,7138.0,7.4717,106.2714,4762.0,3575.0,38.2575,2241.0,3465.0,514.1349,31.8593,63.8957,37.2324,0.0979806560229775,-0.0370922873548551,-0.0080367826376425,0.0060865547737105,0.0232109135218707,-0.0515449981684276,-0.0869224997252689,0.041019677739521,0.0433989936722702,-0.0500294645756932,0.0545221374893427,0.1147830782589464,0.0455511990494082,-0.0305433061734367,0.0963939351527692,-0.0813191302928275,0.0237689410359895,-0.0646955098393663,0.027021099454129
18,2593.0,9.027,48.4438,3.9824,26.7299,37.8599,7085.0,7.2255,104.0078,4743.0,3554.0,38.9035,2257.0,3478.0,515.0315,31.823,64.262,37.225,0.1160625062563658,0.0210713726427065,-0.0469834876859114,-0.0110130043554675,-0.0086886124637862,-0.0431793188756884,-0.1127420051198433,0.0728020127623433,0.0449375436092745,-0.0412446297647264,-0.019126809836081,0.096398382395875,0.0461251037918301,-0.0570142302864996,0.031368503991445,-0.0787077497701127,0.0414946036055536,-0.0743683472411945,0.0107887074004125
